tweet_id,text,is_relevant,mode,complaint_type,information_failure_type,mentions_information_failure,mentions_physical_service_failure,routes,stop_ids,stop_names,areas,landmarks,severity,spatial_confidence,classification_confidence,short_summary,evidence_phrase,extracted_locations_json
07aa1a0ca7cd0a0abe604c53a338d7e3,"Sono studiati. Come gli antichi romani che allineavano perfettamente gli edifici con le effemeridi. Non abbiamo ereditato NULLA

Quoted Tweet:
Come funzionano le nuovissime ipertecnologiche pensiline delle isole fi calore?

Benissimo! Si aspetta all'ombra.

Dalla parte opposta",False,unknown,not_relevant,none,False,False,,,,,,1,none,0.35,Tweet non riguarda direttamente affidabilità o informazioni sul trasporto pubblico (commento/poetica su pensiline e ombra).,"""Come funzionano le nuovissime ipertecnologiche pensiline... Benissimo! Si aspetta all'ombra.""",[]
af3ea4d9d46d6e903fc52d9753551742,"Sì è una truffa con numerose segnalazioni, ma non si riesce a capire dov'è avvenuto il ""data breach"" 
@GPDP_IT

Quoted Tweet:
@InfoAtac @InfoAtac2 @Roma 
È vera questa cosa? 
L’Atac manda sms per multa dopo regolare tap con carta di credito? 
Sembra una truffa. Ma come fa a mandare sms agli utenti?",False,unknown,not_relevant,none,False,False,,,,,,1,none,0.72,Tweet non riguarda l’affidabilità del trasporto pubblico ATAC (ma una presunta truffa/data breach relativa a sms per multe dopo tap).,"""L’Atac manda sms per multa dopo regolare tap con carta di credito?"" / ""Sembra una truffa""","[{""name"": ""Roma"", ""type"": ""municipality"", ""confidence"": 0.35}]"
3ec505dec5661febed8fa098432495f5,"@Atacroma
 
@MercurioPsi
 #atac #roma siamo in venti a piazzale Clodio sotto il sole che stiamo aspettando da mezz'ora il 69!! Che schifo di servizio!",True,bus,delay,none,False,True,69,,,piazzale Clodio,,5,medium,0.74,"A piazzale Clodio molte persone aspettano da mezz’ora il bus 69 sotto il sole, lamentando un servizio pessimo.","""siamo in venti a piazzale Clodio sotto il sole che stiamo aspettando da mezz'ora il 69""","[{""name"": ""piazzale Clodio"", ""type"": ""other"", ""confidence"": 0.75}]"
4bd10c2b600940c262834efb81577789,"a GARA il servizio di trasporto pubblico, non c'è altra soluzione

Quoted Tweet:
Scale mobili metro non funzionanti in continua riparazione, non sostituite da nuove nonostante ben 3 fondi extra, PNRR, Giubileo, Roma Capitale. Gli organi di controllo verifichino impiego fondi. #Roma #Atac",True,metro,other,none,False,True,,,,,,2,none,0.45,"Critica al mancato funzionamento e alla mancata sostituzione delle scale mobili della metro, con riparazioni continue.","Scale mobili metro non funzionanti in continua riparazione, non sostituite da nuove","[{""name"": ""Scale mobili metro"", ""type"": ""other"", ""confidence"": 0.35}, {""name"": ""Roma"", ""type"": ""municipality"", ""confidence"": 0.4}]"
5639c46664348ef0fdae4cc58b7cd853,"Non ci contate, andrà male/peggio almeno per tutto il 2026

Quoted Tweet:
@atacmobile vogliamo aumentare le corse della metro A. Non si può aspettare 5 minuti  e poi non riuscire a prendere il treno perché strapieno. 
Grazie
@eugenio_patane 
@gualtierieurope 
@ilmessaggeroit",True,metro,overcrowding,none,False,True,metro A,,,,,4,none,0.62,Richiesta di aumentare le corse della metro A: i treni risultano strapieni e non permettono di salire.,“Non si può aspettare 5 minuti e poi non riuscire a prendere il treno perché strapieno.”,"[{""name"": ""metro A"", ""type"": ""other"", ""confidence"": 0.55}]"
ecca77f11fdee7251d4852fabe89191b,"Ringrazio l'Assessore ai Trasporti 
@eugenio_patane
 per le belle parole di apprezzamento, per leggerci, e per aver recepito lo spirito positivo e propositivo che ci anima, insieme a 
@diarioromano
 

[intervista completa qui 
https://
youtube.com/watch?v=ytpmZk
oIviA
… 
@anderboz
 #RomaDiSera ]",False,not_relevant,not_relevant,none,False,False,,,,,,1,none,0.95,Tweet non contiene una segnalazione di disservizi o problemi di informazioni sul trasporto pubblico.,Ringrazio l'Assessore ai Trasporti ... per le belle parole ... intervista completa,[]
de0daa9a8d2ebcb5dc6189c7909597de,"#MetroA - da cronoprogramma ad oggi dovevano essere 38 le revisioni effettuate, in pratica sono circa la METÀ i treni CAF300 rientrati in servizio

METÀ

Devono revisionare 51 treni in 6 anni, la previsioni diventa quindi 12 DODICI anni e verosimilm NON tutti i treni rientreranno

Quoted Tweet:
#ATAC - moltissime segnalazioni su tempi di attesa #MetroA inaccettabli in ora di punta, 6 e+ minuti

Le Revisioni dei treni (CAF300) sono in enorme ritardo, da cronoprogramma dovevano essere 32 ultimate per ottobre, inclusi #Metromare

Ne sono state fatte solo la metà o poco più",True,metro,delay,none,False,True,MetroA|Metromare,,,,,4,none,0.62,Ritardi e ritardo nelle revisioni dei treni (CAF300) sulla MetroA con attese inaccettabili in ora di punta.,#MetroA ... tempi di attesa ... 6 e+ minuti ... Le Revisioni dei treni (CAF300) sono in enorme ritardo ... Ne sono state fatte solo la metà o poco più,"[{""name"": ""MetroA"", ""type"": ""station"", ""confidence"": 0.85}, {""name"": ""Metromare"", ""type"": ""other"", ""confidence"": 0.4}, {""name"": ""CAF300"", ""type"": ""other"", ""confidence"": 0.7}]"
6d3a993c82dfe9fbe91b04b0cb5506b6,"ogni anno stessa storia, si avvicina l'estate, le temperature aumentano, ma a #Roma pare un evento INASPETTATO e IMPREVISTO

Quoted Tweet:
@infoatac fuori alle 7.15 ci sono già 25 gradi, poi arrivi a prendere un treno #metroB, ovviamente piena..e l'aria condizionata è solo un refolo; almeno questa ce la date e o la pagate voi?",True,mixed,general_atac_complaint,none,False,False,metro B,,,,,2,none,0.35,Commento generale su situazione percepita a Roma e disagio su metro B affollata e climatizzazione insufficiente.,"“a #Roma pare un evento INASPETTATO e IMPREVEDISTO… poi arrivi a prendere un treno #metroB, ovviamente piena..e l'aria condizionata è solo un refolo”","[{""name"": ""#Roma"", ""type"": ""municipality"", ""confidence"": 0.4}, {""name"": ""metro B"", ""type"": ""other"", ""confidence"": 0.35}]"
e76001e526d014326e0f5c4cb02a50e5,"#CuraDelFerro #ATAC #Roma

Quoted Tweet:
Tram 5 e 14 frequenza di 20 minuti di martedì mattina. Siamo folli ?
@AtacNews @OQuotidianaBlog @MercurioPsi @eugenio_patane @gualtierieurope",True,tram,other,unclear,True,False,5|14,,,,,2,none,0.35,Si lamenta della bassa frequenza (20 minuti) dei tram 5 e 14 il martedì mattina.,Tram 5 e 14 frequenza di 20 minuti di martedì mattina. Siamo folli ?,"[{""name"": ""Roma"", ""type"": ""municipality"", ""confidence"": 0.2}]"
b0f97b7075146d2666255881b6572fea,"@InfoAtac
 partenza da Repubblica con tornelli che non leggono l'abbonamento. Cambio a San Giovanni con scale mobili rotte a salire e a scendere. Arrivo a Gardenie e anche qui scala mobile rotta. Sempre complimenti",True,mixed,driver_or_staff_issue,none,False,True,,,,Repubblica|San Giovanni|Gardenie,,3,medium,0.35,"In stazioni indicate (Repubblica, San Giovanni, Gardenie) tornelli/non leggono abbonamento e scale mobili rotte durante i cambi.",partenza da Repubblica con tornelli che non leggono l'abbonamento. Cambio a San Giovanni con scale mobili rotte... Arrivo a Gardenie e anche qui scala mobile rotta.,"[{""name"": ""Repubblica"", ""type"": ""station"", ""confidence"": 0.7}, {""name"": ""San Giovanni"", ""type"": ""station"", ""confidence"": 0.7}, {""name"": ""Gardenie"", ""type"": ""station"", ""confidence"": 0.6}]"
