tweet_id,text,matched_stop_id,matched_stop_code,matched_stop_name,match_method,mode,complaint_type,information_failure_type,mentions_information_failure,severity,classification_confidence,spatial_confidence,routes,evidence_phrase,lat,lon
7f3fce89f8ae921716074fcb72913525,"Ah, le 2 linee #bus più frequenti di #Roma: Deposito e #FuoriServizio

Quoted Tweet:
@InfoAtac prossima partenza linea 62 da stazione Tiburtina? Saltata corsa delle 11.51. Il bus è arrivato, ha fatto scendere le persone ed è andato via con scritta DEPOSITO, seguito da un FUORI SERVIZIO",30816,30816,STAZ.NE TIBURTINA (MB),stop_name_fuzzy,bus,out_of_service,terminus_or_out_of_service_confusion,True,5,0.72,high,62,"""prossima partenza linea 62 da stazione Tiburtina? Saltata corsa delle 11.51. Il bus è arrivato... ed è andato via con scritta DEPOSITO, seguito da un FUORI SERVIZIO""",41.909832,12.528137
01fbe884caa38c088762d59d5af5fc81,"@InfoAtac
  ingressi metro a Conca d'Oro chiusi. Mezzi di superficie spariti. In breve non so come tornare a casa. Ah, ma ce la ciclabile qui, che stupida...",71576,71576,CONCA D'ORO (MB1),stop_name_exact,mixed,ghost_bus,physical_disconnect_ghost,True,5,0.74,medium,,"""ingressi metro a Conca d'Oro chiusi. Mezzi di superficie spariti.""",41.940028,12.529438
533d4e3d9199decac5ea57d3f1f87937,"@InfoAtac
 è da mesi che sta così (la banda nera è un difetto di fotografia) e non si vedono le info sulle linee
Fermata 71062 Gregorio VII San Damaso
.

@QuinziUgo
 
@MercurioPsi
 
@Antincivili",71062,71062,GREGORIO VII/S. DAMASO,stop_id_exact,bus,missing_realtime_data,missing_realtime_information,True,3,0.78,high,,e non si vedono le info sulle linee. Fermata 71062 Gregorio VII San Damaso,41.89566,12.4449
45a5fb71d605ac146c82f25156525d67,"Banalmente, se c'è una causa PERMANENTE che allunga i tempi di percorrenza, su una linea essenziale Express come il 60, #ATAC dovrebbe mettere dei #bus in più. È l'ABC..

Quoted Tweet:
Oggi ho aspettato 30 minuti al capolinea #largopugliese !! Gli autisti del #60 hanno detto che è a causa dei lavori a #PiazzaVenezia. E quindi staremo così fino al 2033?
@InfoAtac @MercurioPsi @OQuotidianaBlog @romamobilita",71527,71527,LGO PUGLIESE,stop_name_fuzzy,bus,delay,unclear,True,4,0.72,medium,60,"""ho aspettato 30 minuti al capolinea #largopugliese"" ... ""è a causa dei lavori a #PiazzaVenezia""",41.946303,12.553862
29f6fa98926c3b3aff2e45cc3cecb1a6,"#Roma riconfermata per il PEGGIOR trasporto pubblico d'Europa

Quoted Tweet:
@InfoAtac ora è un'ora e 30 minuti che attendiamo l'88 direzione Verano alla fermata Cavalieri/Pasquariello. È previsto che passi o bisogna cercare altri mezzi per muoversi?",73794,73794,CAVALIERI/PASQUARIELLO,stop_name_exact,bus,delay,none,False,5,0.78,high,88,"""ora è un'ora e 30 minuti che attendiamo l'88 direzione Verano alla fermata Cavalieri/Pasquariello""",41.964892,12.515663
db191dd42fd410cc7f0beadfc1d108d2,"..e il Comune butta MLN€ f9ndi pubblici nel #MaaS, anziché risolvere PRIMA i problemi di monitoraggio GPS/AVM 
@CorteContiPress

Quoted Tweet:
@InfoAtac vettura 2897  del  719 transistata sa poco alla fermata 74650 e non monitorata. A voi sembrerà sciocco, ma per chi ha orari serrati poter sapere quando passano i bus con affidabilità è importante",74650,74650,TRULLO/CAMPAGNATICO,stop_id_exact,bus,missing_realtime_data,telemetry_blackout,True,3,0.78,high,719,"""InfoAtac vettura 2897 del 719 transistata ... a poco alla fermata 74650 e non monitorata""",41.843265,12.436982
0ffb739a9f57595909bef0a14acd80b7,"#CuraDelFerro #ATAC #Roma

Quoted Tweet:
@InfoAtac non passa il 5 alla fermata 71007? È 40 minuti che aspetto.",71007,71007,PRENESTINA/TOR DE' SCHIAVI,stop_id_exact,bus,ghost_bus,physical_disconnect_ghost,True,3,0.82,high,,"""non passa il 5 alla fermata 71007? È 40 minuti che aspetto.""",41.894673,12.557917
3ed4e16262f59931151503cb07904a89,"il ""potenziamento"" della linea #bus 105..

Quoted Tweet:
@InfoAtac scusate ma il 105 verso parco di Centocelle, fermata Casilina labicano sta veramente tra 28 minuti? Follia spero non sia così e ce ne sia anche un altro magari non segnato sull’app",71665,71665,CASILINA/P.LE LABICANO,stop_name_fuzzy,bus,wrong_eta,latency_or_stale_prediction,True,5,0.78,medium,105,"""il 105 verso parco di Centocelle, fermata Casilina labicano sta veramente tra 28 minuti?"" ... ""non segnato sull’app""",41.890512,12.516572
2fb87d6f9d752bda6e323c98ed8c0852,"Buon pomeriggio, vi segnalo che a Baldo degli Ubaldi la 2a e unica scala mobile accessibile in uscita dir. Piazza Irnerio (la più lunga) sia ferma. 
Gli utenti non meritano questo trattamento, la gente arriva in cima piegata sulle gambe e sofferente 
@InfoAtac
 
@MercurioPsi",AD3,AD3,Baldo Degli Ubaldi,stop_name_exact,mixed,service_suspension,none,False,5,0.74,medium,,a Baldo degli Ubaldi la 2a e unica scala mobile accessibile in uscita dir. Piazza Irnerio ... sia ferma,41.899107,12.434508
7caaf120099e3fd06d108ed824edabc8,"ore 18:47 ""come mai il 2 a Flaminio è previsto tra 19 min? E siamo qui da 10’""

ore  19:34 ""bus in arrivo"" #ATAC

Quanto avrà aspettato

Quoted Tweet:
@InfoAtac come mai il 2 a Flaminio è previsto tra 19 min? E siamo qui da 10’",81153,81153,FLAMINIO,stop_name_exact,bus,wrong_eta,latency_or_stale_prediction,True,5,0.72,medium,2,“come mai il 2 a Flaminio è previsto tra 19 min? E siamo qui da 10’”,41.912152,12.47568
