tweet_id,text,is_relevant,mode,complaint_type,information_failure_type,mentions_information_failure,mentions_physical_service_failure,routes,stop_ids,stop_names,areas,landmarks,severity,spatial_confidence,classification_confidence,short_summary,evidence_phrase
3ec505dec5661febed8fa098432495f5,"@Atacroma
 
@MercurioPsi
 #atac #roma siamo in venti a piazzale Clodio sotto il sole che stiamo aspettando da mezz'ora il 69!! Che schifo di servizio!",True,bus,delay,none,False,True,69,,,piazzale Clodio,,5,medium,0.74,"A piazzale Clodio molte persone aspettano da mezz’ora il bus 69 sotto il sole, lamentando un servizio pessimo.","""siamo in venti a piazzale Clodio sotto il sole che stiamo aspettando da mezz'ora il 69"""
633af766fa959c9d4c950aee7a8f3b06,"Come facevano a prevedere che a fine maggio sarebbe arrivato il caldo 

#tram con finestroni bloccati

Quoted Tweet:
@InfoAtac tram 8 vettura 9249 da Piazza Venezia a Casaletto non funziona l'aria condizionata che però risulta accesa. Un forno",True,tram,breakdown,none,False,True,tram 8,,,Piazza Venezia|Casaletto,Piazza Venezia,4,medium,0.72,Segnalato malfunzionamento del tram: aria condizionata non funziona pur risultando attiva.,tram 8 ... risulta accesa. Un forno
7f3fce89f8ae921716074fcb72913525,"Ah, le 2 linee #bus più frequenti di #Roma: Deposito e #FuoriServizio

Quoted Tweet:
@InfoAtac prossima partenza linea 62 da stazione Tiburtina? Saltata corsa delle 11.51. Il bus è arrivato, ha fatto scendere le persone ed è andato via con scritta DEPOSITO, seguito da un FUORI SERVIZIO",True,bus,out_of_service,terminus_or_out_of_service_confusion,True,True,62,,stazione Tiburtina,,,5,high,0.72,La linea 62 da stazione Tiburtina risulta con corsa “saltata”; il bus però passa solo per far scendere e poi esce con scritte DEPOSITO/FUORI SERVIZIO.,"""prossima partenza linea 62 da stazione Tiburtina? Saltata corsa delle 11.51. Il bus è arrivato... ed è andato via con scritta DEPOSITO, seguito da un FUORI SERVIZIO"""
1118c4e320cf1d449a57f0d1ea13afc9,"""PEGGIOR trasporto pubblico d'Europa"" #CommissioneUE

Quoted Tweet:
Ieri #Nottedeimusei #metroA chiusa e servizio @InfoAtac  inesistente:alle 23 fermata #aracoeli sovraffollata in attesa di un 85 o 51 a 2 fermate ma mai arrivati.Alle 23.45 su un 87,un CARRO BESTIAME! Servizio vergognoso! @romamobilita @Roma @MiC_Italia  @romafaschifo @IlMsgitRoma",True,bus,overcrowding,none,False,True,85|51|87,,Aracoeli,,,3,high,0.78,"Sovraffollamento alla fermata Aracoeli e bus non arrivati/servizio inadeguato in orario serale, con citazione di vari bus (85, 51, 87).","alle 23 fermata #aracoeli sovraffollata in attesa di un 85 o 51 a 2 fermate ma mai arrivati ... Alle 23.45 su un 87,un CARRO BESTIAME!"
01fbe884caa38c088762d59d5af5fc81,"@InfoAtac
  ingressi metro a Conca d'Oro chiusi. Mezzi di superficie spariti. In breve non so come tornare a casa. Ah, ma ce la ciclabile qui, che stupida...",True,mixed,ghost_bus,physical_disconnect_ghost,True,True,,,Conca d'Oro,Conca d'Oro,,5,medium,0.74,"A Conca d'Oro ingressi della metro chiusi e i mezzi di superficie risultano spariti, rendendo difficile il rientro a casa.","""ingressi metro a Conca d'Oro chiusi. Mezzi di superficie spariti."""
533d4e3d9199decac5ea57d3f1f87937,"@InfoAtac
 è da mesi che sta così (la banda nera è un difetto di fotografia) e non si vedono le info sulle linee
Fermata 71062 Gregorio VII San Damaso
.

@QuinziUgo
 
@MercurioPsi
 
@Antincivili",True,bus,missing_realtime_data,missing_realtime_information,True,False,,71062,Gregorio VII San Damaso,,,3,high,0.78,Su InfoAtac non si vedono le informazioni delle linee in corrispondenza della fermata 71062 Gregorio VII San Damaso.,e non si vedono le info sulle linee. Fermata 71062 Gregorio VII San Damaso
45a5fb71d605ac146c82f25156525d67,"Banalmente, se c'è una causa PERMANENTE che allunga i tempi di percorrenza, su una linea essenziale Express come il 60, #ATAC dovrebbe mettere dei #bus in più. È l'ABC..

Quoted Tweet:
Oggi ho aspettato 30 minuti al capolinea #largopugliese !! Gli autisti del #60 hanno detto che è a causa dei lavori a #PiazzaVenezia. E quindi staremo così fino al 2033?
@InfoAtac @MercurioPsi @OQuotidianaBlog @romamobilita",True,bus,delay,unclear,True,True,60,,largopugliese,Piazza Venezia,,4,medium,0.72,Attesa di 30 minuti al capolinea e autisti indicano ritardi dovuti ai lavori in zona Piazza Venezia.,"""ho aspettato 30 minuti al capolinea #largopugliese"" ... ""è a causa dei lavori a #PiazzaVenezia"""
29f6fa98926c3b3aff2e45cc3cecb1a6,"#Roma riconfermata per il PEGGIOR trasporto pubblico d'Europa

Quoted Tweet:
@InfoAtac ora è un'ora e 30 minuti che attendiamo l'88 direzione Verano alla fermata Cavalieri/Pasquariello. È previsto che passi o bisogna cercare altri mezzi per muoversi?",True,bus,delay,none,False,True,88,,Cavalieri/Pasquariello,,,5,high,0.78,Attesa prolungata per il bus 88 in direzione Verano alla fermata Cavalieri/Pasquariello.,"""ora è un'ora e 30 minuti che attendiamo l'88 direzione Verano alla fermata Cavalieri/Pasquariello"""
29d31b8e30178721fcc1a2a92841bd35,"le ""partenze intelligenti"" #ATAC

Quoted Tweet:
@InfoAtac buongiorno.
Sto aspettando l'85 in direzione termini da un bel po'. Ora mi dà 2 vetture in arrivo tra 10 minuti, a distanza di 2 minuti. Non si può rimodulare l'orario per avere una distribuzione delle vetture più intelligente?",True,bus,wrong_eta,latency_or_stale_prediction,True,False,85,,,direzione Termini,Termini,3,medium,0.78,Segnalazioni di arrivo del bus 85 poco coerenti: indica vetture in arrivo a pochi minuti ma risultano molto vicine/irregolari nella distribuzione.,"Ora mi dà 2 vetture in arrivo tra 10 minuti, a distanza di 2 minuti."
db191dd42fd410cc7f0beadfc1d108d2,"..e il Comune butta MLN€ f9ndi pubblici nel #MaaS, anziché risolvere PRIMA i problemi di monitoraggio GPS/AVM 
@CorteContiPress

Quoted Tweet:
@InfoAtac vettura 2897  del  719 transistata sa poco alla fermata 74650 e non monitorata. A voi sembrerà sciocco, ma per chi ha orari serrati poter sapere quando passano i bus con affidabilità è importante",True,bus,missing_realtime_data,telemetry_blackout,True,False,719,74650,,,,3,high,0.78,"Secondo InfoAtac, un bus (vettura 2897) transitata sul 719 avrebbe registrato poco in fermata (74650) ed è risultata non monitorata, impedendo previsioni affidabili.","""InfoAtac vettura 2897 del 719 transistata ... a poco alla fermata 74650 e non monitorata"""
